starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 18 23:56:39 2021	1637250999	0	5	5	5
Thu Nov 18 23:56:39 2021	1637250999	0	5	5	5
Thu Nov 18 23:56:39 2021	1637250999	0	5	5	5
Thu Nov 18 23:56:39 2021	1637250999	0	5	6	5
Thu Nov 18 23:56:39 2021	1637250999	0	6	6	5
Thu Nov 18 23:56:39 2021	1637250999	0	5	6	5
Thu Nov 18 23:56:39 2021	1637250999	0	6	6	6
Thu Nov 18 23:56:39 2021	1637250999	0	5	6	5
Thu Nov 18 23:56:39 2021	1637250999	0	6	6	6
Thu Nov 18 23:56:39 2021	1637250999	0	6	6	5
Thu Nov 18 23:56:39 2021	1637250999	0	6	6	6
Thu Nov 18 23:56:39 2021	1637250999	0	6	6	6
Thu Nov 18 23:56:39 2021	1637250999	0	6	6	5
Thu Nov 18 23:56:39 2021	1637250999	0	6	6	5
Thu Nov 18 23:56:39 2021	1637250999	1	5	6	5
Thu Nov 18 23:56:39 2021	1637250999	0	6	6	6
Thu Nov 18 23:56:39 2021	1637250999	0	6	6	6
Thu Nov 18 23:56:39 2021	1637250999	0	6	6	5
Thu Nov 18 23:56:39 2021	1637250999	0	6	6	6
Thu Nov 18 23:56:39 2021	1637250999	0	6	6	6
Thu Nov 18 23:56:39 2021	1637250999	0	6	6	5
Thu Nov 18 23:56:39 2021	1637250999	0	6	6	6
Thu Nov 18 23:56:39 2021	1637250999	1	6	6	6
Thu Nov 18 23:56:39 2021	1637250999	1	6	6	5
Thu Nov 18 23:56:39 2021	1637250999	1	6	6	6
Thu Nov 18 23:56:39 2021	1637250999	0	6	6	6
Thu Nov 18 23:56:39 2021	1637250999	0	6	6	6
Thu Nov 18 23:56:39 2021	1637250999	0	6	6	6
Thu Nov 18 23:56:39 2021	1637250999	0	6	6	6
Thu Nov 18 23:56:39 2021	1637250999	0	6	6	6
Thu Nov 18 23:56:39 2021	1637250999	0	6	6	6
Thu Nov 18 23:56:39 2021	1637250999	0	6	6	6
Thu Nov 18 23:56:39 2021	1637250999	1	6	7	6
Thu Nov 18 23:56:39 2021	1637250999	1	6	7	6
Thu Nov 18 23:56:39 2021	1637250999	1	6	7	5
Thu Nov 18 23:56:39 2021	1637250999	1	6	7	6
Thu Nov 18 23:56:39 2021	1637250999	1	6	7	6
Thu Nov 18 23:56:39 2021	1637250999	0	6	7	6
Thu Nov 18 23:56:39 2021	1637250999	0	6	7	6
Thu Nov 18 23:56:39 2021	1637250999	1	6	7	6
Thu Nov 18 23:56:39 2021	1637250999	1	6	7	6
Thu Nov 18 23:56:39 2021	1637250999	0	6	7	6
Thu Nov 18 23:56:39 2021	1637250999	0	6	7	6
Thu Nov 18 23:56:39 2021	1637250999	1	6	7	6
Thu Nov 18 23:56:39 2021	1637250999	1	6	7	6
Thu Nov 18 23:56:39 2021	1637250999	0	7	7	6
Thu Nov 18 23:56:39 2021	1637250999	0	7	7	6
Thu Nov 18 23:56:39 2021	1637250999	1	6	7	6
Thu Nov 18 23:56:39 2021	1637250999	0	7	7	6
Thu Nov 18 23:56:39 2021	1637250999	0	7	7	6
Thu Nov 18 23:56:39 2021	1637250999	1	6	7	6
Thu Nov 18 23:56:39 2021	1637250999	1	6	7	6
Thu Nov 18 23:56:39 2021	1637250999	0	7	7	7
Thu Nov 18 23:56:39 2021	1637250999	0	7	7	7
Thu Nov 18 23:56:39 2021	1637250999	0	7	7	7
Thu Nov 18 23:56:39 2021	1637250999	1	6	7	6
Thu Nov 18 23:56:39 2021	1637250999	0	7	7	7
Thu Nov 18 23:56:39 2021	1637250999	1	6	7	6
Thu Nov 18 23:56:39 2021	1637250999	1	6	7	6
Thu Nov 18 23:56:39 2021	1637250999	0	7	7	7
Thu Nov 18 23:56:39 2021	1637250999	1	6	7	6
Thu Nov 18 23:56:39 2021	1637250999	1	6	7	6
Thu Nov 18 23:56:39 2021	1637250999	0	7	7	7
Thu Nov 18 23:56:39 2021	1637250999	0	7	7	7
Thu Nov 18 23:56:39 2021	1637250999	1	6	8	6
Thu Nov 18 23:56:39 2021	1637250999	1	7	8	7
Thu Nov 18 23:56:39 2021	1637250999	1	7	8	7
Thu Nov 18 23:56:39 2021	1637250999	1	6	8	6
Thu Nov 18 23:56:39 2021	1637250999	1	7	8	7
Thu Nov 18 23:56:39 2021	1637250999	1	7	8	7
Thu Nov 18 23:56:39 2021	1637250999	1	7	8	7
Thu Nov 18 23:56:39 2021	1637250999	1	7	8	7
Thu Nov 18 23:56:39 2021	1637250999	1	7	8	7
Thu Nov 18 23:56:39 2021	1637250999	1	7	8	7
Thu Nov 18 23:56:39 2021	1637250999	1	7	8	7
Thu Nov 18 23:56:39 2021	1637250999	1	7	8	7
Thu Nov 18 23:56:39 2021	1637250999	1	7	8	7
Thu Nov 18 23:56:39 2021	1637250999	1	7	8	7
Thu Nov 18 23:56:39 2021	1637250999	1	7	8	7
Thu Nov 18 23:56:39 2021	1637250999	1	7	8	7
Thu Nov 18 23:56:39 2021	1637250999	1	7	8	7
Thu Nov 18 23:56:39 2021	1637250999	2	6	8	6
Thu Nov 18 23:56:39 2021	1637250999	1	6	8	6
Thu Nov 18 23:56:39 2021	1637250999	1	7	8	7
Thu Nov 18 23:56:39 2021	1637250999	1	7	8	7
Thu Nov 18 23:56:39 2021	1637250999	0	8	8	8
Thu Nov 18 23:56:39 2021	1637250999	1	7	8	7
Thu Nov 18 23:56:39 2021	1637250999	1	7	8	7
Thu Nov 18 23:56:39 2021	1637250999	2	6	8	6
Thu Nov 18 23:56:39 2021	1637250999	1	7	8	7
Thu Nov 18 23:56:39 2021	1637250999	1	7	8	7
Thu Nov 18 23:56:39 2021	1637250999	1	7	8	7
Thu Nov 18 23:56:39 2021	1637250999	0	8	8	7
Thu Nov 18 23:56:39 2021	1637250999	1	7	8	7
Thu Nov 18 23:56:39 2021	1637250999	1	7	8	7
Thu Nov 18 23:56:39 2021	1637250999	2	7	8	6
Thu Nov 18 23:56:39 2021	1637250999	1	7	8	7
Thu Nov 18 23:56:39 2021	1637250999	1	7	8	7
Thu Nov 18 23:56:39 2021	1637250999	2	7	8	7
Thu Nov 18 23:56:39 2021	1637250999	2	7	8	7
Thu Nov 18 23:56:39 2021	1637250999	1	8	8	7
Thu Nov 18 23:56:39 2021	1637250999	1	8	8	8
Thu Nov 18 23:56:39 2021	1637250999	2	7	8	7
Thu Nov 18 23:56:39 2021	1637250999	1	8	8	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	8	8
Thu Nov 18 23:56:39 2021	1637250999	1	7	8	7
Thu Nov 18 23:56:39 2021	1637250999	1	7	8	7
Thu Nov 18 23:56:39 2021	1637250999	1	8	8	8
Thu Nov 18 23:56:39 2021	1637250999	2	7	8	7
Thu Nov 18 23:56:39 2021	1637250999	1	8	8	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	2	7	9	7
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	1	7	9	7
Thu Nov 18 23:56:39 2021	1637250999	1	7	9	7
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	3	6	9	6
Thu Nov 18 23:56:39 2021	1637250999	2	6	9	6
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	2	6	9	6
Thu Nov 18 23:56:39 2021	1637250999	2	6	9	6
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	1	7	9	7
Thu Nov 18 23:56:39 2021	1637250999	2	7	9	7
Thu Nov 18 23:56:39 2021	1637250999	2	7	9	7
Thu Nov 18 23:56:39 2021	1637250999	2	7	9	7
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	2	7	9	7
Thu Nov 18 23:56:39 2021	1637250999	2	7	9	7
Thu Nov 18 23:56:39 2021	1637250999	2	7	9	6
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	2	7	9	7
Thu Nov 18 23:56:39 2021	1637250999	3	6	9	6
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	2	7	9	7
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	2	7	9	7
Thu Nov 18 23:56:39 2021	1637250999	2	7	9	7
Thu Nov 18 23:56:39 2021	1637250999	2	7	9	7
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	3	6	9	6
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	2	7	9	7
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	2	7	9	7
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	2	7	9	7
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	1	8	9	8
Thu Nov 18 23:56:39 2021	1637250999	0	9	9	5
Thu Nov 18 23:56:39 2021	1637250999	2	7	9	7
