starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 18 23:55:26 2021	1637250926	0	5	5	5
Thu Nov 18 23:55:26 2021	1637250926	0	5	5	5
Thu Nov 18 23:55:26 2021	1637250926	0	5	6	5
Thu Nov 18 23:55:26 2021	1637250926	0	6	6	6
Thu Nov 18 23:55:26 2021	1637250926	0	6	6	6
Thu Nov 18 23:55:26 2021	1637250926	1	6	6	6
Thu Nov 18 23:55:26 2021	1637250926	0	7	7	7
Thu Nov 18 23:55:26 2021	1637250926	0	8	8	7
Thu Nov 18 23:55:26 2021	1637250926	0	8	8	8
Thu Nov 18 23:55:26 2021	1637250926	1	8	9	8
Thu Nov 18 23:55:26 2021	1637250926	0	8	9	8
Thu Nov 18 23:55:26 2021	1637250926	0	8	9	8
Thu Nov 18 23:55:26 2021	1637250926	0	9	9	9
Thu Nov 18 23:55:26 2021	1637250926	0	9	9	9
Thu Nov 18 23:55:26 2021	1637250926	1	8	9	8
Thu Nov 18 23:55:26 2021	1637250926	0	9	9	9
Thu Nov 18 23:55:26 2021	1637250926	1	8	9	8
Thu Nov 18 23:55:26 2021	1637250926	0	9	9	9
Thu Nov 18 23:55:26 2021	1637250926	0	9	9	8
Thu Nov 18 23:55:26 2021	1637250926	0	9	9	9
Thu Nov 18 23:55:26 2021	1637250926	0	9	10	9
Thu Nov 18 23:55:26 2021	1637250926	1	9	10	9
Thu Nov 18 23:55:26 2021	1637250926	1	9	10	9
Thu Nov 18 23:55:26 2021	1637250926	0	9	10	9
Thu Nov 18 23:55:26 2021	1637250926	1	9	10	9
Thu Nov 18 23:55:26 2021	1637250926	1	9	10	9
Thu Nov 18 23:55:26 2021	1637250926	1	9	10	8
Thu Nov 18 23:55:26 2021	1637250926	1	9	10	9
Thu Nov 18 23:55:26 2021	1637250926	1	9	10	9
Thu Nov 18 23:55:26 2021	1637250926	2	9	10	8
Thu Nov 18 23:55:26 2021	1637250926	0	10	10	10
Thu Nov 18 23:55:26 2021	1637250926	1	10	10	10
Thu Nov 18 23:55:26 2021	1637250926	0	10	10	10
Thu Nov 18 23:55:26 2021	1637250926	0	10	10	10
Thu Nov 18 23:55:26 2021	1637250926	1	9	10	9
Thu Nov 18 23:55:26 2021	1637250926	0	10	10	10
Thu Nov 18 23:55:26 2021	1637250926	1	9	10	9
Thu Nov 18 23:55:26 2021	1637250926	0	10	10	10
Thu Nov 18 23:55:26 2021	1637250926	1	9	10	9
Thu Nov 18 23:55:26 2021	1637250926	0	10	10	10
Thu Nov 18 23:55:26 2021	1637250926	1	10	10	9
Thu Nov 18 23:55:26 2021	1637250926	0	10	11	10
Thu Nov 18 23:55:26 2021	1637250926	0	10	11	10
Thu Nov 18 23:55:26 2021	1637250926	0	10	11	10
Thu Nov 18 23:55:26 2021	1637250926	0	10	11	10
Thu Nov 18 23:55:26 2021	1637250926	0	10	11	10
Thu Nov 18 23:55:26 2021	1637250926	1	10	11	10
Thu Nov 18 23:55:26 2021	1637250926	1	10	11	10
Thu Nov 18 23:55:26 2021	1637250926	0	10	11	10
Thu Nov 18 23:55:26 2021	1637250926	1	10	11	10
Thu Nov 18 23:55:26 2021	1637250926	1	10	11	10
Thu Nov 18 23:55:26 2021	1637250926	0	11	11	10
Thu Nov 18 23:55:26 2021	1637250926	1	10	11	10
Thu Nov 18 23:55:26 2021	1637250926	1	10	11	10
Thu Nov 18 23:55:26 2021	1637250926	0	11	11	11
Thu Nov 18 23:55:26 2021	1637250926	1	10	11	10
Thu Nov 18 23:55:26 2021	1637250926	1	10	11	10
